Experiment ID: 2
VI UVI VIH BVI VIAE VIAEH VIAEHLB BAO
435 702 298 921 840 436 267 636
894 1179 592 1638 1148 997 497 1135
1107 1153 562 1738 1246 1207 716 1328
1239 1523 840 2443 1806 1455 845 1672
2181 2213 754 3056 1684 1378 779 1536
564 554 330 816 798 508 331 916
855 947 501 1531 1386 986 455 1121
1527 1483 753 2196 1406 1287 758 1583
1265 1564 739 2365 1621 1805 663 1756
1746 1788 792 2936 1707 1943 954 1887
521 578 354 782 1471 625 435 791
1251 1210 670 1594 1207 1086 516 1237
1253 1554 676 2339 1539 1371 825 1738
1441 1650 828 2110 1706 1573 847 1634
1425 1771 698 2475 1627 1435 562 1557
749 609 332 819 783 387 290 589
1017 876 419 1327 916 769 460 973
1017 1243 659 1743 1269 1207 530 1349
1332 1548 754 2225 1419 1318 743 1630
1130 1510 685 1916 1621 2331 891 1488
306 305 186 615 630 283 175 393
452 703 446 803 614 546 384 857
675 915 488 1272 778 872 447 875
937 1067 362 1505 1053 770 513 1319
736 1010 532 1387 956 1022 394 1047
