# META DATA
# 
# experiment run at: Mon Aug 29 12:50:34 2022
# 
# gamma = 0.99
# epsilon = 0.05
# A = 100
# non_zero_transition = 1
# upper_reward = 1000
# action_prob = 1
# 
# VARIABLE IN THIS EXPERIMENT
# Number of states, S, is varied from 100 to 2000 with 100 increment
# 
# ACTUAL DATA
# number of states | microseconds
100 0
200 0
300 0
400 0
500 0
600 0
700 0
800 0
900 0
1000 0
1100 0
1200 0
1300 0
1400 0
1500 0
1600 0
1700 0
1800 0
1900 0
2000 0
100 0
200 0
300 0
400 0
500 0
600 0
700 0
800 0
900 0
1000 0
1100 0
1200 0
1300 0
1400 0
1500 0
1600 0
1700 0
1800 0
1900 0
2000 0
100 0
200 0
300 0
400 0
500 0
600 0
700 0
800 0
900 0
1000 0
1100 0
1200 0
1300 0
1400 0
1500 0
1600 0
1700 0
1800 0
1900 0
2000 0
100 0
200 0
300 0
400 0
500 0
600 0
700 0
800 0
900 0
1000 0
1100 0
1200 0
1300 0
1400 0
1500 0
1600 0
1700 0
1800 0
1900 0
2000 0
100 0
200 0
300 0
400 0
500 0
600 0
700 0
800 0
900 0
1000 0
1100 0
1200 0
1300 0
1400 0
1500 0
1600 0
1700 0
1800 0
1900 0
2000 0
6.05361e-43
0
5.60519e-45
0
2.8026e-45
0
1.4013e-45
0
8.40779e-45
0
4.85444e-11
6.18533e-42
1.82169e-44
2.07438e-09
4.44878e-39
-4560.69
2.16063e-15
9.18271e-42
2.16063e-15
9.18271e-42
